Episode,Distance
0,258.0
1,189.0
2,258.0
3,182.0
4,241.0
5,371.0
6,299.0
7,204.0
8,217.0
9,254.0
10,330.0
11,196.0
12,271.0
13,272.0
14,155.0
15,233.0
16,260.0
17,303.0
18,214.0
19,257.0
20,270.0
21,250.0
22,238.0
23,255.0
24,94.0
25,274.0
26,194.0
27,272.0
28,185.0
29,185.0
30,330.0
31,157.0
32,220.0
33,231.0
34,251.0
35,124.0
36,258.0
37,295.0
38,164.0
39,233.0
40,265.0
41,261.0
42,211.0
43,222.0
44,275.0
45,260.0
46,244.0
47,147.0
48,269.0
49,178.0
50,272.0
51,156.0
52,265.0
53,268.0
54,134.0
55,254.0
56,295.0
57,292.0
58,239.0
59,117.0
60,184.0
61,261.0
62,174.0
63,164.0
64,159.0
65,204.0
66,333.0
67,147.0
68,191.0
69,280.0
70,240.0
71,250.0
72,169.0
73,251.0
74,129.0
75,284.0
76,162.0
77,212.0
78,333.0
79,164.0
80,261.0
81,189.0
82,170.0
83,242.0
84,297.0
85,192.0
86,148.0
87,256.0
88,185.0
89,241.0
90,228.0
91,235.0
92,187.0
93,220.0
94,288.0
95,298.0
96,180.0
97,282.0
98,154.0
99,204.0
100,155.0
101,208.0
102,292.0
103,141.0
104,356.0
105,298.0
106,300.0
107,194.0
108,163.0
109,161.0
110,252.0
111,199.0
112,270.0
113,170.0
114,298.0
115,209.0
116,215.0
117,296.0
118,199.0
119,212.0
120,193.0
121,124.0
122,141.0
123,329.0
124,240.0
125,186.0
126,287.0
127,199.0
128,248.0
129,208.0
130,256.0
131,203.0
132,247.0
133,216.0
134,220.0
135,291.0
136,210.0
137,82.0
138,340.0
139,145.0
140,269.0
141,269.0
142,176.0
143,246.0
144,156.0
145,152.0
146,175.0
147,229.0
148,242.0
149,150.0
150,256.0
151,266.0
152,193.0
153,295.0
154,224.0
155,250.0
156,246.0
157,312.0
158,160.0
159,249.0
160,226.0
161,238.0
162,208.0
163,223.0
164,252.0
165,223.0
166,259.0
167,241.0
168,155.0
169,134.0
170,286.0
171,183.0
172,152.0
173,246.0
174,272.0
175,286.0
176,118.0
177,178.0
178,273.0
179,291.0
180,334.0
181,312.0
182,149.0
183,181.0
184,181.0
185,205.0
186,138.0
187,312.0
188,164.0
189,204.0
190,295.0
191,190.0
192,154.0
193,291.0
194,238.0
195,161.0
196,162.0
197,164.0
198,317.0
199,172.0
200,104.0
201,221.0
202,216.0
203,241.0
204,196.0
205,239.0
206,250.0
207,207.0
208,216.0
