run_index,algorithm,instance,r_type,e_type,epsilon,epsilon_init,BestEpisode,BestDistance,BestPath,Duration_sec,Emissions_kgCO2,EmissionsRate_kgCO2_per_sec,CPU_Power_W,RAM_Power_W,CPU_Energy_Wh,RAM_Energy_Wh,Total_Energy_Wh
1,q,br17.atsp,R1,linear,9.999999999998898e-07,0.01,3109,66.0,15 -> 5 -> 3 -> 14 -> 4 -> 6 -> 10 -> 0 -> 1 -> 13 -> 9 -> 2 -> 12 -> 11 -> 7 -> 16 -> 8 -> 15,1.5053774000007252,1.8284485113688613e-05,1.2146113734456093e-05,130.0,10.0,5.431431777778925e-05,4.1597050000038715e-06,6.287541518780148e-05
1,q,br17.atsp,R2,linear,9.999999999998898e-07,0.01,29,39.0,8 -> 7 -> 16 -> 1 -> 9 -> 10 -> 12 -> 2 -> 13 -> 0 -> 11 -> 5 -> 6 -> 14 -> 15 -> 4 -> 3 -> 8,1.2730241999997816,1.5452905926396908e-05,1.2138736974834853e-05,130.0,10.0,4.590510166665101e-05,3.513828611105257e-06,5.3138377697759345e-05
1,q,br17.atsp,R3,linear,9.999999999998898e-07,0.01,31,39.0,15 -> 5 -> 6 -> 14 -> 3 -> 4 -> 8 -> 7 -> 16 -> 12 -> 1 -> 9 -> 10 -> 2 -> 13 -> 11 -> 0 -> 15,1.7981044000007387,2.175540900126783e-05,1.2099080009625075e-05,130.0,10.0,6.487644583338705e-05,4.9717591666699775e-06,7.481098674805394e-05
1,q,br17.atsp,R1,convex,5.998500199984047e-06,0.01,2330,66.0,7 -> 0 -> 1 -> 2 -> 10 -> 11 -> 12 -> 13 -> 9 -> 5 -> 3 -> 6 -> 4 -> 14 -> 15 -> 8 -> 16 -> 7,1.4385192999980063,1.7427033164460152e-05,1.21145633322294e-05,130.0,10.0,5.188910999990589e-05,3.972200277773178e-06,5.992686908567648e-05
1,q,br17.atsp,R2,convex,5.998500199984047e-06,0.01,45,39.0,16 -> 7 -> 8 -> 9 -> 1 -> 10 -> 12 -> 13 -> 2 -> 0 -> 11 -> 5 -> 6 -> 14 -> 15 -> 4 -> 3 -> 16,1.3801424999983283,1.6758734187127077e-05,1.214275640895587e-05,130.0,10.0,4.9780907222167224e-05,3.811747500003548e-06,5.762876906217938e-05
1,q,br17.atsp,R3,convex,5.998500199984047e-06,0.01,32,39.0,4 -> 3 -> 14 -> 5 -> 6 -> 15 -> 9 -> 1 -> 10 -> 12 -> 2 -> 13 -> 0 -> 11 -> 8 -> 7 -> 16 -> 4,1.326647600002616,1.608312238042482e-05,1.2123130800065598e-05,130.0,10.0,4.78632411112004e-05,3.663389166669933e-06,5.5305522189868874e-05
1,q,br17.atsp,R1,concave,4.521856454158983e-07,0.01,1398,71.0,8 -> 9 -> 0 -> 12 -> 13 -> 1 -> 2 -> 10 -> 11 -> 7 -> 6 -> 3 -> 14 -> 5 -> 4 -> 15 -> 16 -> 8,1.4105213999973785,1.7108116522610767e-05,1.2128930849714554e-05,130.0,10.0,5.089746999990691e-05,3.89800527777374e-06,5.8830200727672376e-05
1,q,br17.atsp,R2,concave,4.521856454158983e-07,0.01,32,39.0,14 -> 5 -> 6 -> 15 -> 9 -> 1 -> 10 -> 12 -> 2 -> 13 -> 0 -> 11 -> 7 -> 8 -> 16 -> 3 -> 4 -> 14,1.418895100003283,1.704820124673345e-05,1.2015124477273904e-05,130.0,10.0,5.072879138894374e-05,3.838151388895818e-06,5.862416824584669e-05
1,q,br17.atsp,R3,concave,4.521856454158983e-07,0.01,49,39.0,16 -> 7 -> 8 -> 9 -> 1 -> 10 -> 12 -> 2 -> 13 -> 0 -> 11 -> 5 -> 6 -> 14 -> 15 -> 3 -> 4 -> 16,1.5420532999996794,1.8692647748349987e-05,1.2121920654982466e-05,130.0,10.0,5.5438113611115924e-05,4.2428036111131305e-06,6.427897645621631e-05
1,q,br17.atsp,R1,step,0.0009999999999999998,0.01,2721,71.0,16 -> 11 -> 9 -> 0 -> 1 -> 2 -> 10 -> 13 -> 12 -> 7 -> 5 -> 3 -> 6 -> 14 -> 4 -> 15 -> 8 -> 16,2.3940433999996458,2.8989963787062887e-05,1.2109205617186044e-05,130.0,10.0,8.635411777772283e-05,6.6214916666669725e-06,9.968867037039557e-05
1,q,br17.atsp,R2,step,0.0009999999999999998,0.01,45,39.0,16 -> 7 -> 8 -> 9 -> 1 -> 10 -> 12 -> 13 -> 2 -> 0 -> 11 -> 5 -> 6 -> 14 -> 15 -> 3 -> 4 -> 16,1.865151699999842,2.267889102478293e-05,1.2159274242832285e-05,130.0,10.0,6.730359638886512e-05,5.1582694444429465e-06,7.798659247531139e-05
1,q,br17.atsp,R3,step,0.0009999999999999998,0.01,37,39.0,15 -> 5 -> 6 -> 14 -> 3 -> 4 -> 7 -> 8 -> 16 -> 10 -> 1 -> 9 -> 12 -> 2 -> 13 -> 0 -> 11 -> 15,1.622857099999237,2.0067223280408498e-05,1.2365366784554187e-05,130.0,10.0,5.856348333324301e-05,4.485894166666387e-06,6.900577115389521e-05
1,q,br17.atsp,R1,fixed,0.01,0.01,2602,66.0,15 -> 3 -> 5 -> 14 -> 4 -> 6 -> 0 -> 1 -> 2 -> 10 -> 11 -> 12 -> 13 -> 9 -> 8 -> 16 -> 7 -> 15,1.3987244000018109,1.8028463572901702e-05,1.2889217899450643e-05,130.0,10.0,5.047172000002118e-05,3.8644111111150575e-06,6.199502612713571e-05
